"U.S. food supply:  Nutrients and other food components, per capita per day1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Food energy,Carbo-      hydrates,Protein,Fat,,,,Cholesterol,Dietary           fiber,Vitamins,,,,,,,,,,,Minerals,,,,,,,,
,,,,Total fat,Saturated,Monoun-saturated,Polyunsaturated,,,Vitamin A (RE),Vitamin A (RAE),Carotene,Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Vitamin B6,"Folate
(DFE)",Vitamin B12,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Potassium,Selenium,Sodium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-- Kilo-calories --,------------------------------------------------ Grams ------------------------------------------------,,,,,,-- Milligrams --,--- Grams ---,- Micrograms RE -,- Micrograms RAE -,-- Micrograms --,Milligrams Alpha-TE,----------------------------------- Milligrams --------------------------------,,,,,----- Micrograms -----,,----------------------------------------- Milligrams -------------------------------------------,,,,,,,-- Micrograms --,-- Millgrams --
1909,3400,499,101,119,50,45,13,440,29,1240,840,430,7.2,84,1.6,1.9,18,2.2,321,8.5,760,1540,390,14.0,13.6,1.9,3790,178.1,870
1910,3400,498,99,117,49,44,12,440,29,1210,830,430,7.3,86,1.5,1.9,18,2.2,319,8.1,750,1510,380,13.9,13.2,1.9,3760,174.0,860
1911,3400,492,98,118,49,45,12,460,28,1220,830,410,7.2,80,1.5,1.9,18,2.1,313,8.2,730,1490,370,13.5,13.0,1.8,3600,174.9,880
1912,3400,493,98,115,48,44,12,440,28,1200,830,420,7.2,84,1.5,1.9,18,2.1,318,8.1,780,1520,380,13.6,13.0,1.9,3780,174.5,880
1913,3400,492,97,116,48,44,12,430,28,1170,810,400,7.5,83,1.5,1.9,18,2.1,310,7.9,760,1500,370,13.3,12.8,1.8,3670,172.6,860
1914,3400,486,95,118,48,45,13,430,27,1150,790,400,8.4,82,1.5,1.8,17,2.0,302,7.6,740,1450,360,13.0,12.5,1.8,3540,167.8,840
1915,3300,483,94,117,48,45,13,430,28,1180,810,430,8.1,86,1.5,1.8,17,2.0,303,7.5,710,1450,360,13.1,12.2,1.8,3610,165.6,840
1916,3300,473,93,117,48,45,13,430,27,1190,810,420,7.5,77,1.5,1.8,17,1.9,292,7.6,690,1410,350,12.7,12.2,1.8,3410,162.7,840
1917,3200,472,92,113,46,44,12,410,28,1190,810,450,7.6,78,1.5,1.8,17,1.9,308,7.6,720,1440,370,13.5,12.4,1.9,3560,159.6,810
1918,3300,468,94,121,49,47,14,420,27,1220,830,450,8.5,81,1.5,1.9,17,2.1,309,8.1,800,1510,390,13.9,12.8,1.9,3750,159.6,860
1919,3300,480,93,120,49,47,14,430,27,1240,840,460,8.5,80,1.5,1.8,18,2.0,295,7.9,760,1460,370,13.4,12.5,1.9,3580,161.5,910
1920,3200,460,91,115,48,44,13,430,26,1240,850,470,7.5,83,1.4,1.9,17,1.9,295,7.8,790,1450,360,12.7,12.2,1.8,3560,159.8,900
1921,3100,445,88,114,48,42,13,430,25,1220,850,470,7.3,84,1.4,1.8,16,1.9,286,7.5,780,1420,350,12.4,11.9,1.7,3500,152.9,870
1922,3400,485,92,121,51,45,14,450,26,1280,890,500,8.1,84,1.4,1.9,17,1.9,294,7.8,800,1460,360,12.7,12.1,1.8,3560,159.1,890
1923,3400,474,94,127,53,48,14,470,27,1290,890,470,8.1,91,1.5,1.9,17,2.0,306,8.0,800,1490,370,13.1,12.4,1.9,3700,161.0,960
1924,3400,482,94,128,54,48,14,470,26,1260,890,440,8.2,92,1.5,1.9,17,2.0,311,7.8,820,1490,370,13.0,12.3,1.8,3650,154.7,970
1925,3400,483,93,129,54,49,15,470,26,1250,890,430,9.0,89,1.4,1.9,17,2.0,307,7.8,830,1480,360,12.7,12.0,1.8,3610,154.7,970
1926,3400,488,93,129,54,48,15,480,26,1270,900,460,9.3,87,1.4,1.9,17,1.9,307,7.7,840,1480,360,12.7,12.1,1.8,3580,156.1,960
1927,3400,489,94,129,54,49,15,480,26,1290,910,490,8.9,88,1.5,1.9,17,1.9,313,7.6,840,1500,370,12.9,12.0,1.8,3610,156.7,970
1928,3500,494,93,129,54,49,15,470,26,1250,890,470,9.2,88,1.5,1.9,17,1.9,311,7.3,840,1500,370,12.8,11.8,1.8,3630,156.8,980
1929,3400,484,93,131,55,49,15,470,27,1290,910,510,9.3,95,1.5,1.9,17,2.0,315,7.4,870,1510,380,12.9,11.9,1.8,3710,154.9,1000
1930,3400,485,91,129,54,48,15,460,26,1260,900,480,9.2,86,1.4,1.9,16,1.9,313,7.2,850,1480,360,12.6,11.7,1.8,3580,152.8,980
1931,3400,471,91,129,54,48,15,460,26,1270,900,490,9.0,92,1.5,1.9,16,1.9,316,7.1,850,1470,370,12.6,11.6,1.8,3620,150.7,970
1932,3300,457,90,126,53,47,14,450,25,1310,920,520,8.5,89,1.4,1.9,16,1.9,304,7.1,840,1450,360,12.2,11.4,1.7,3540,150.1,950
1933,3200,446,89,126,54,47,15,450,25,1280,900,490,8.5,88,1.4,1.9,16,1.8,297,7.2,830,1430,350,12.2,11.2,1.7,3500,144.9,950
1934,3200,438,89,129,54,48,15,450,25,1300,900,510,8.9,90,1.4,1.8,16,1.9,307,7.5,840,1430,350,12.4,11.6,1.7,3570,142.2,950
1935,3200,444,86,122,52,46,14,420,26,1250,880,520,9.3,95,1.3,1.8,15,1.8,305,6.9,860,1420,360,12.4,11.2,1.7,3610,142.9,920
1936,3300,447,90,129,54,49,15,440,26,1240,880,500,9.5,92,1.3,1.9,16,1.8,312,7.4,880,1460,370,12.8,11.6,1.8,3630,147.4,950
1937,3200,441,89,128,53,48,15,440,25,1280,900,510,9.8,92,1.3,1.9,16,1.8,305,7.4,880,1450,360,12.3,11.5,1.7,3600,146.8,960
1938,3200,441,89,128,53,48,15,440,25,1280,900,510,9.8,97,1.4,1.9,16,1.8,316,7.3,900,1460,360,12.5,11.5,1.7,3660,146.7,980
1939,3300,449,91,133,56,50,16,460,26,1310,930,520,9.8,100,1.4,1.9,16,1.8,319,7.5,910,1490,370,12.7,11.8,1.8,3710,147.3,1010
1940,3300,439,92,136,57,51,16,470,25,1310,920,490,9.7,99,1.5,2.0,17,1.9,317,7.7,920,1510,370,12.6,11.9,1.8,3710,149.0,1050
1941,3400,455,94,139,58,52,17,470,25,1350,950,510,10.2,100,1.6,2.0,17,1.9,320,8.0,940,1530,370,13.1,12.1,1.8,3780,147.3,1050
1942,3300,438,98,138,57,52,18,490,26,1430,1000,520,10.4,100,1.8,2.1,18,1.9,342,8.6,990,1590,380,13.9,12.6,1.9,3890,148.5,1090
1943,3400,442,102,139,55,53,18,500,26,1480,1030,540,10.2,98,2.0,2.3,19,2.0,338,8.9,1010,1660,390,14.5,12.9,1.9,3930,155.4,1100
1944,3400,441,102,140,56,54,18,510,26,1520,1040,550,10.4,107,2.1,2.6,22,2.1,340,9.5,1040,1680,400,15.9,13.3,2.0,4110,152.5,1130
1945,3300,433,105,137,55,52,18,530,26,1540,1060,560,10.6,106,2.0,2.7,22,2.0,348,9.4,1090,1720,400,16.2,13.5,2.0,4130,161.4,1140
1946,3300,427,103,138,55,53,17,520,25,1480,1040,540,10.5,105,2.1,2.6,22,2.0,336,9.1,1110,1730,390,16.1,13.1,1.9,4100,160.8,1180
1947,3300,434,98,138,56,53,17,520,23,1420,1010,490,10.3,102,1.9,2.5,21,2.0,312,9.0,1060,1640,370,15.2,12.7,1.9,3910,150.7,1160
1948,3200,413,94,135,54,52,17,510,22,1360,970,460,10.2,95,1.8,2.4,20,1.8,305,8.5,1000,1560,350,14.6,12.1,1.8,3700,147.0,1100
1949,3200,414,94,134,54,51,18,510,22,1350,970,450,10.3,92,1.8,2.4,20,1.8,300,8.5,1000,1550,350,14.6,11.9,1.8,3690,146.2,1110
1950,3200,416,94,139,55,53,18,510,22,1340,950,450,10.6,88,1.8,2.4,19,1.8,305,8.5,1000,1560,350,14.7,12.0,1.8,3640,147.9,1130
1951,3200,405,93,134,53,51,18,510,21,1290,930,400,10.0,91,1.8,2.4,19,1.8,302,8.4,1000,1540,340,14.5,11.8,1.7,3640,146.5,1130
1952,3200,403,94,137,54,53,18,510,21,1300,930,400,10.6,89,1.8,2.5,19,1.8,299,8.6,1000,1550,340,14.3,11.9,1.7,3590,146.8,1150
1953,3200,399,94,136,54,53,18,510,20,1320,950,410,10.6,90,1.8,2.4,19,1.8,293,8.9,980,1530,340,14.3,12.1,1.7,3590,145.2,1130
1954,3100,390,93,136,53,53,18,500,20,1300,940,400,10.8,88,1.8,2.4,19,1.8,299,8.9,970,1530,330,14.4,12.1,1.7,3520,140.4,1130
1955,3200,390,93,140,55,54,19,500,20,1320,950,410,10.7,88,1.8,2.4,19,1.8,296,9.0,980,1550,330,14.4,12.1,1.7,3560,140.8,1190
1956,3200,390,95,141,55,54,19,510,20,1330,960,410,10.6,86,1.8,2.4,20,1.8,300,9.2,980,1560,330,14.6,12.4,1.7,3570,139.7,1210
1957,3100,384,93,137,54,52,19,490,20,1300,950,400,10.5,88,1.8,2.4,20,1.8,297,8.9,970,1540,330,14.4,12.0,1.7,3540,137.5,1190
1958,3100,387,92,136,53,53,19,480,19,1290,950,390,10.5,83,1.8,2.3,19,1.7,292,8.7,960,1520,320,14.3,11.7,1.6,3470,135.7,1190
1959,3100,387,93,140,54,55,20,490,20,1320,960,400,10.9,85,1.8,2.3,20,1.8,294,8.8,960,1530,330,14.3,11.9,1.6,3510,135.6,1220
1960,3100,388,92,138,53,53,20,470,19,1300,950,390,11.1,87,1.8,2.3,20,1.8,291,8.7,960,1520,320,14.4,11.8,1.6,3490,134.1,1210
1961,3100,387,93,138,53,53,20,470,19,1280,940,370,10.9,85,1.8,2.3,20,1.8,290,8.7,950,1510,320,14.6,11.8,1.6,3470,134.3,1210
1962,3100,387,92,139,53,53,20,470,19,1270,930,370,11.0,85,1.8,2.3,20,1.7,289,8.7,950,1510,320,14.7,11.8,1.6,3450,134.1,1240
1963,3100,386,93,140,53,54,22,470,19,1280,940,370,11.3,79,1.8,2.3,20,1.8,284,8.8,950,1520,320,14.6,12.0,1.6,3440,130.7,1220
1964,3200,385,94,143,54,55,22,470,18,1270,930,350,11.7,78,1.8,2.3,20,1.8,282,9.1,950,1520,320,14.7,12.1,1.6,3420,131.8,1230
1965,3100,385,93,142,53,54,22,460,18,1250,920,370,12.0,80,1.8,2.3,20,1.7,275,8.8,950,1510,320,14.4,12.0,1.6,3380,130.7,1210
1966,3200,388,94,145,54,56,23,460,19,1330,970,390,12.2,82,1.8,2.3,21,1.8,276,9.0,950,1520,320,14.5,12.1,1.7,3400,131.2,1220
1967,3200,391,95,146,55,56,23,470,19,1350,980,400,12.1,85,1.9,2.3,21,1.8,282,9.1,930,1520,320,15.1,12.4,1.7,3390,132.5,1250
1968,3300,394,96,150,55,58,24,470,19,1440,1000,450,12.2,89,1.9,2.3,21,1.9,281,9.3,940,1540,330,15.3,12.5,1.7,3450,133.0,1270
1969,3300,397,96,149,55,58,24,470,19,1430,1030,430,12.5,90,1.9,2.3,22,1.9,281,9.3,940,1540,330,15.4,12.4,1.7,3430,131.4,1280
1970,3300,401,98,147,52,58,25,470,19,1470,1040,480,13.3,104,2.0,2.4,22,2.0,301,9.6,990,1580,340,15.7,12.8,1.7,3610,128.8,1230
1971,3300,401,99,147,52,58,25,470,19,1480,1040,500,13.0,105,2.0,2.5,22,2.0,302,9.6,1000,1590,340,15.8,12.9,1.7,3610,128.4,1250
1972,3300,395,98,148,52,58,26,460,19,1490,1040,520,13.4,104,2.0,2.4,22,2.0,300,9.5,990,1590,340,15.9,12.8,1.8,3590,127.1,1240
1973,3200,401,96,144,50,57,27,440,20,1490,1040,570,13.9,104,2.0,2.4,22,1.9,306,9.1,990,1570,340,16.1,12.5,1.8,3590,124.5,1220
1974,3200,395,97,146,50,57,27,440,19,1610,1090,590,13.9,109,2.4,2.8,26,2.0,356,9.2,960,1560,340,16.5,13.9,1.8,3540,121.4,1220
1975,3400,395,111,160,56,63,27,490,20,1600,1080,600,14.2,114,2.5,2.9,29,2.3,373,11.3,940,1670,350,18.3,17.0,1.9,3780,154.6,1250
1976,3500,409,116,166,58,67,29,500,20,1620,1100,590,14.6,115,2.5,3.0,30,2.4,381,11.9,980,1740,370,18.9,17.8,1.9,3910,159.9,1310
1977,3600,418,117,163,57,65,29,500,22,1570,1060,560,14.3,114,2.6,3.0,31,2.5,386,11.7,970,1780,380,19.2,18.0,2.0,3880,164.3,1300
1978,3500,405,113,163,56,65,29,490,20,1560,1060,560,14.4,111,2.5,2.9,30,2.4,370,11.2,960,1710,360,18.5,17.3,1.9,3750,155.3,1290
1979,3500,406,112,162,56,65,29,490,20,1590,1070,590,14.5,111,2.6,2.9,30,2.4,374,10.7,960,1700,360,18.4,16.9,1.9,3760,151.6,1280
1980,3500,408,111,162,56,65,29,490,20,1570,1060,580,14.4,115,2.6,2.9,30,2.4,375,10.6,950,1690,350,18.4,16.8,1.9,3740,150.0,1260
1981,3500,416,113,162,56,65,30,480,22,1570,1060,580,14.6,113,2.6,2.9,31,2.4,382,10.7,940,1730,370,19.1,17.3,1.9,3760,158.7,1240
1982,3500,413,113,162,55,65,30,480,22,1560,1050,600,14.8,110,2.6,2.9,30,2.4,387,10.4,950,1720,380,19.2,17.2,1.9,3780,159.5,1250
1983,3500,409,113,166,57,66,31,480,21,1550,1050,580,15.0,119,2.6,2.9,30,2.4,386,10.7,960,1710,360,21.1,17.1,1.9,3790,153.5,1260
1984,3600,416,114,170,59,69,31,490,21,1590,1070,610,15.5,113,2.6,2.9,31,2.4,381,10.8,970,1730,370,21.3,17.3,1.9,3810,154.2,1290
1985,3700,432,117,176,61,71,32,490,22,1580,1070,600,16.1,114,2.7,3.0,31,2.5,394,10.8,1000,1780,380,22.2,17.7,2.0,3880,158.2,1310
1986,3700,436,118,177,61,71,32,490,22,1570,1070,590,16.3,117,2.7,3.0,32,2.5,398,10.6,1010,1790,390,22.4,17.8,2.0,3920,159.6,1320
1987,3800,448,117,174,59,70,32,480,22,1590,1080,610,16.4,117,2.8,3.1,32,2.5,393,10.5,1000,1790,390,22.5,17.4,2.0,3870,159.0,1310
1988,3800,454,118,175,59,71,33,470,23,1530,1050,570,17.1,116,2.8,3.1,32,2.5,404,10.3,1000,1810,390,23.1,17.7,2.0,3890,160.5,1280
1989,3700,452,117,169,57,68,32,460,23,1580,1070,610,16.7,120,2.8,3.1,33,2.5,400,10.2,1000,1790,390,23.0,17.5,2.0,3880,159.8,1280
1990,3800,468,118,167,56,68,32,460,24,1610,1080,640,16.5,114,2.9,3.2,33,2.5,407,10.1,1020,1820,400,23.8,17.9,2.1,3910,162.0,1310
1991,3800,470,119,164,55,69,32,450,24,1580,1070,610,16.9,114,2.9,3.2,33,2.6,418,10.0,1020,1820,410,24.1,18.0,2.1,3940,170.7,1320
1992,3800,473,120,168,56,70,32,460,24,1630,1100,640,17.1,116,3.0,3.2,34,2.6,424,10.0,1030,1840,410,24.3,18.2,2.1,3970,172.7,1340
1993,3900,483,120,172,57,73,33,450,24,1690,1130,700,17.6,121,3.0,3.2,34,2.6,419,9.8,1020,1830,410,24.4,18.0,2.1,3960,173.2,1330
1994,3900,490,122,170,56,73,32,460,24,1770,1170,780,17.2,122,3.1,3.2,34,2.7,425,10.0,1040,1850,410,24.6,18.3,2.1,4010,174.4,1330
1995,3900,490,121,168,56,71,32,460,24,1710,1130,730,16.8,118,3.0,3.2,34,2.6,417,10.1,1020,1830,400,24.5,18.2,2.1,3930,172.4,1300
1996,3900,500,122,166,55,71,31,460,25,1750,1150,780,16.6,123,3.1,3.2,35,2.6,421,10.1,1030,1850,410,24.9,18.2,2.1,4000,175.9,1300
1997,3900,503,121,165,54,70,32,450,25,1800,1170,840,16.8,123,3.1,3.2,34,2.6,422,9.9,1030,1830,400,24.7,17.9,2.1,3970,175.3,1290
1998,3900,504,122,167,56,71,32,460,24,1660,1100,690,16.7,126,3.1,3.2,35,2.6,907,10.1,1030,1840,410,24.8,18.1,2.1,4000,189.1,1280
1999,4000,506,124,173,58,73,33,480,25,1630,1100,670,17.5,124,3.0,3.2,35,2.7,907,10.1,1030,1860,410,25.1,18.3,2.2,4030,190.0,1300
2000,4200,505,124,191,62,83,37,470,25,1630,1100,670,20.3,125,3.1,3.2,35,2.6,916,10.0,1030,1860,410,25.1,18.2,2.2,4030,191.4,1300
2001,4100,500,122,192,61,84,38,470,24,1480,960,670,20.6,113,3.0,3.1,35,2.6,900,10.0,1020,1850,410,24.8,18.1,2.1,3960,191.8,1270
2002,4200,495,123,199,63,87,40,480,24,1450,940,630,21.7,112,3.0,3.1,35,2.6,888,10.0,1020,1840,410,24.7,18.1,2.1,3930,192.2,1280
2003,4200,492,124,202,64,88,40,480,24,1460,950,660,21.7,114,3.0,3.1,35,2.6,899,10.0,1020,1870,410,24.9,18.2,2.1,3970,195.8,1340
2004,4200,491,125,202,64,88,40,490,25,1480,960,670,21.7,113,3.0,3.1,35,2.7,893,10.1,1030,1880,420,25.0,18.3,2.2,3990,195.7,1340
2005,4100,488,123,194,61,84,40,470,25,1430,910,650,21.4,111,3.0,3.1,35,2.6,889,9.9,1010,1840,410,24.9,18.1,2.2,3890,191.2,1250
2006,4100,485,124,196,62,83,41,480,25,1450,930,650,21.4,109,3.0,3.1,35,2.6,892,9.9,1020,1850,420,25.1,18.1,2.2,3890,192.9,1230
2007,4100,480,123,196,61,82,43,470,24,1440,940,630,22.1,107,3.0,3.1,35,2.6,886,9.8,1030,1850,410,24.9,18.2,2.2,3870,193.7,1240
2008,4100,478,121,194,60,80,45,470,24,1430,930,630,22.4,106,2.9,3.0,34,2.5,881,9.6,1030,1830,410,24.6,17.8,2.1,3800,189.4,1210
2009,4000,471,120,185,57,75,42,460,24,1410,920,610,21.3,105,2.9,3.0,34,2.5,881,9.6,1040,1820,400,24.4,17.7,2.1,3770,188.8,1220
2010,4000,474,120,190,59,77,44,460,25,1430,920,630,21.9,105,2.9,3.0,34,2.5,889,9.3,1030,1810,410,24.6,17.6,2.1,3760,187.2,1210
"1Data are based on ERS estimates of per capita quantities of food available for consumption, on imputed consumption data for foods no longer reported by ERS. Center for Nutrition Policy and Promotion (CNPP) of quantities of produce from home gardens.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Calculated by USDA/Center for Nutrition Policy and Promotion. Data last updated Feb. 1, 2015. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
