Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
United States of America,USA,Men,1975,25.28900402,24.75470926,25.8232302,0.107136122,0.072357578,0.150463531,0.01360259,0.006765857,0.02421012,0.018831101,0.009110774,0.033374091,0.046473755,0.027685927,0.072205401,0.464802896,0.392700783,0.537410119,0.362756126,0.29480053,0.43284327,0.093533532,0.058937656,0.136323685,0.011196955,0.00481245,0.021099487,0.002405635,0.000697216,0.005818414
United States of America,USA,Men,1976,25.34771879,24.87046451,25.82676182,0.110666103,0.076571821,0.152706936,0.014510412,0.007532352,0.024915301,0.018022079,0.009110415,0.031179715,0.044922094,0.027520197,0.068590215,0.460246749,0.39261818,0.527992,0.366142976,0.301920134,0.432511337,0.096155691,0.062290741,0.137501416,0.011899194,0.005394012,0.021598328,0.002611217,0.000836504,0.005952399
United States of America,USA,Men,1977,25.40595955,24.96783067,25.85293541,0.114264798,0.080665187,0.155415688,0.015477478,0.008350776,0.025539301,0.017259834,0.009051641,0.029058737,0.043440408,0.027300961,0.065308752,0.455622532,0.391543881,0.519677417,0.369412429,0.308650548,0.431970586,0.09878732,0.065654767,0.138617635,0.012639865,0.006050874,0.022140841,0.002837613,0.00100068,0.00615697
United States of America,USA,Men,1978,25.46529245,25.05132775,25.88546247,0.11794365,0.085205808,0.1581026,0.016505312,0.009233178,0.026314931,0.016539614,0.008976049,0.027326325,0.042017216,0.02698536,0.062172117,0.450929786,0.390457156,0.511156543,0.372569734,0.315007407,0.431585974,0.101438338,0.068955108,0.139924403,0.013417689,0.006701476,0.022872838,0.003087624,0.001192376,0.006381107
United States of America,USA,Men,1979,25.527234,25.12279329,25.93649747,0.121724575,0.089557236,0.160840257,0.017605662,0.010179572,0.027398691,0.015860255,0.008857408,0.025622996,0.040649742,0.026559035,0.05916058,0.446146756,0.388708684,0.503027038,0.375618672,0.320665476,0.432382105,0.104118913,0.072775636,0.141683298,0.014242146,0.007335796,0.023678353,0.003363515,0.00139498,0.006721193
United States of America,USA,Men,1980,25.59231223,25.20074884,25.99738709,0.125626358,0.093729541,0.163981465,0.018783324,0.011215613,0.028695464,0.01521785,0.008696609,0.02408717,0.03932287,0.026047505,0.056734843,0.441270037,0.386249253,0.495071374,0.378562884,0.326149236,0.433020568,0.106843035,0.075608521,0.143901054,0.015115923,0.008055613,0.024526816,0.003667401,0.001591472,0.007124653
United States of America,USA,Men,1981,25.66244869,25.27701429,26.05396114,0.12972531,0.098000313,0.167734003,0.020064386,0.012318531,0.030127813,0.014608796,0.008487952,0.022913921,0.038023806,0.02550701,0.054272402,0.436220725,0.383203351,0.487181803,0.381421363,0.331313645,0.433073471,0.109660924,0.078238181,0.145853704,0.01605715,0.008788059,0.02544968,0.004007237,0.001816876,0.007597051
United States of America,USA,Men,1982,25.73790435,25.35613544,26.13004649,0.134047417,0.102486719,0.171053093,0.021448781,0.013583599,0.031655197,0.014025281,0.008269251,0.0216858,0.036749141,0.024853099,0.052125738,0.430993411,0.379699662,0.479982335,0.384184749,0.335966511,0.434007247,0.112598636,0.081531069,0.148505645,0.017065418,0.009570903,0.02666101,0.004383363,0.002050592,0.008097549
United States of America,USA,Men,1983,25.81829707,25.43521547,26.22287612,0.138570566,0.107087794,0.17528971,0.022944682,0.01477297,0.033674618,0.013471452,0.007964641,0.020639959,0.035508072,0.02413538,0.050486147,0.425605216,0.376287658,0.473309161,0.386844694,0.339701744,0.435183466,0.115625884,0.084779258,0.15030358,0.018144382,0.010447013,0.027943649,0.0048003,0.00229611,0.008618248
United States of America,USA,Men,1984,25.90340975,25.52056114,26.30834931,0.14330123,0.112167194,0.179654673,0.024562097,0.016089478,0.035568437,0.012949837,0.007735432,0.019770636,0.034301732,0.023373472,0.048539445,0.420055854,0.372667217,0.466343343,0.389391346,0.342764374,0.436396237,0.118739133,0.088426176,0.15316028,0.019300864,0.01135857,0.029466635,0.005261233,0.002568541,0.009283962
United States of America,USA,Men,1985,25.99341703,25.60415773,26.40075735,0.148250447,0.116563757,0.184298965,0.026307511,0.017417452,0.03786942,0.01246033,0.007537841,0.018901212,0.033134192,0.0226316,0.046799201,0.41436818,0.368552393,0.459750879,0.391786851,0.346560978,0.438088634,0.121942936,0.091695183,0.156215631,0.020537294,0.012324057,0.030969902,0.005770216,0.00286149,0.010130882
United States of America,USA,Men,1986,26.08770101,25.69789752,26.49849879,0.153409421,0.12171627,0.189265392,0.028184066,0.018886262,0.040154866,0.011998411,0.007259027,0.018191994,0.032005489,0.021930014,0.04519641,0.408554275,0.36354795,0.452994882,0.394032405,0.349878043,0.439129968,0.125225354,0.094680158,0.159544618,0.021853234,0.013403,0.032801284,0.006330832,0.003182812,0.010959288
United States of America,USA,Men,1987,26.18557589,25.79538596,26.58890094,0.15878398,0.126830148,0.194517242,0.03019835,0.020575945,0.042481986,0.011566148,0.007001423,0.017532789,0.030913992,0.021093496,0.043646075,0.402632936,0.358357558,0.446066297,0.396102945,0.352140594,0.440103598,0.12858563,0.098169885,0.163084968,0.023249078,0.014452207,0.03463997,0.006949271,0.003517953,0.011915967
United States of America,USA,Men,1988,26.28749619,25.89837124,26.68107793,0.164362166,0.13216454,0.200403521,0.032359145,0.022239737,0.045238728,0.011161359,0.006759065,0.016981381,0.029859725,0.020371217,0.04211021,0.396617092,0.353154077,0.439373092,0.397999658,0.354218941,0.441378169,0.132003021,0.100756615,0.166365467,0.024730798,0.015601141,0.036610519,0.007628347,0.00389128,0.012977876
United States of America,USA,Men,1989,26.39380328,26.01106341,26.77848517,0.170136176,0.137532786,0.206537266,0.034679155,0.023942324,0.048459739,0.010780208,0.006527519,0.01642846,0.028845885,0.019660533,0.040685168,0.390545788,0.34752739,0.433045671,0.399691943,0.356874568,0.442732191,0.135457021,0.103744315,0.169968035,0.026302212,0.016767302,0.038601025,0.008376943,0.004318997,0.014277384
United States of America,USA,Men,1990,26.50458938,26.12785587,26.883167,0.176103388,0.143142164,0.212807141,0.03715965,0.025821403,0.051694256,0.010421189,0.006283195,0.015887616,0.027866534,0.0190016,0.039339293,0.384395173,0.342345728,0.426551156,0.401213715,0.358911675,0.443865157,0.138943739,0.107091933,0.173893856,0.027960401,0.017927386,0.040742721,0.009199249,0.004786622,0.015643665
United States of America,USA,Men,1991,26.62073418,26.25463437,26.98808259,0.182365011,0.148751493,0.219640796,0.039841349,0.027953019,0.055063798,0.01007459,0.006104058,0.015431042,0.026908258,0.018375246,0.037956397,0.378068221,0.337079683,0.419298757,0.40258392,0.361119289,0.445070987,0.142523662,0.110432998,0.177817571,0.029733908,0.019176853,0.043116069,0.010107441,0.005297835,0.017041384
United States of America,USA,Men,1992,26.74141127,26.38148169,27.10266742,0.188895997,0.155344396,0.226684252,0.042727643,0.030154332,0.058848392,0.009739333,0.00592044,0.01490605,0.0259729,0.017621718,0.036611488,0.371580463,0.331248444,0.412432578,0.403811308,0.363182802,0.446041363,0.146168354,0.114046012,0.181481816,0.031619436,0.020465863,0.045661126,0.011108206,0.005860335,0.018618893
United States of America,USA,Men,1993,26.86555064,26.50792004,27.22459164,0.195690708,0.16169695,0.233375784,0.045818157,0.032590956,0.062841507,0.009415838,0.005702867,0.014402931,0.025063037,0.017100488,0.035263193,0.364986917,0.325466487,0.404760372,0.4048435,0.364096572,0.446448668,0.149872551,0.117462718,0.185656604,0.033618093,0.021914453,0.048329757,0.012200064,0.006538136,0.020255733
United States of America,USA,Men,1994,26.99272182,26.64187041,27.34363309,0.202719666,0.168130096,0.24064242,0.049118792,0.035113875,0.067096808,0.00910226,0.005532728,0.013859267,0.024177071,0.01641015,0.033986329,0.358316954,0.319244169,0.397814687,0.405684049,0.365331197,0.447240958,0.153600874,0.121173357,0.189622208,0.035727249,0.023437033,0.051176322,0.013391543,0.007229861,0.022099255
United States of America,USA,Men,1995,27.12153255,26.77767766,27.4596229,0.20994677,0.17481033,0.248106525,0.052630013,0.037870068,0.071327304,0.008798886,0.005358675,0.013316898,0.023319187,0.01585967,0.032681232,0.351588112,0.313190328,0.390326281,0.406347045,0.366332279,0.447852312,0.157316757,0.124433923,0.193023915,0.037943869,0.02507865,0.054231681,0.014686144,0.008034287,0.023994033
United States of America,USA,Men,1996,27.25068713,26.92011598,27.57724017,0.217326865,0.181764476,0.25561499,0.056322213,0.040795403,0.075577517,0.008505227,0.005205754,0.012830077,0.022494219,0.015294276,0.031519775,0.344858408,0.307746549,0.382801913,0.406815281,0.367056732,0.447725431,0.161004652,0.127845596,0.197039939,0.040239354,0.026821054,0.057009569,0.016082859,0.008902463,0.02597014
United States of America,USA,Men,1997,27.37964742,27.0636311,27.69872261,0.22486832,0.189105769,0.26289132,0.060197123,0.043822403,0.080084728,0.00822313,0.005020885,0.012386731,0.021701212,0.014740291,0.03033413,0.338142929,0.301348795,0.375168679,0.40706441,0.368304434,0.447618314,0.164671197,0.131645743,0.200694967,0.042613423,0.028598584,0.05993242,0.0175837,0.009912062,0.027950875
United States of America,USA,Men,1998,27.50787296,27.20597083,27.81469006,0.232511424,0.1966183,0.27082683,0.064237786,0.047181916,0.084645759,0.00795288,0.004891678,0.011926077,0.020939173,0.014241049,0.029362465,0.331474435,0.295192117,0.367457787,0.407122087,0.368175396,0.446880132,0.168273639,0.135172298,0.20418372,0.045058412,0.030467066,0.062767166,0.019179374,0.010989695,0.029999904
United States of America,USA,Men,1999,27.63537542,27.34169727,27.92463191,0.24024547,0.204682514,0.278690003,0.068438851,0.050520386,0.089498937,0.007695367,0.004746763,0.011524774,0.020211102,0.013746633,0.028279432,0.324881522,0.289582488,0.360161229,0.406966539,0.36851208,0.445834023,0.171806619,0.13880414,0.20733817,0.047572835,0.032482033,0.065947627,0.020866015,0.012189484,0.032495916
United States of America,USA,Men,2000,27.76170662,27.47802696,28.04073061,0.248030189,0.212806403,0.286249696,0.072776652,0.054171468,0.094633765,0.00744865,0.004646169,0.011151852,0.019513312,0.013378241,0.027360015,0.318401197,0.28430856,0.353066916,0.406606652,0.368326433,0.4453715,0.175253537,0.142466238,0.210551696,0.050141446,0.034507481,0.069137118,0.022635206,0.01343272,0.03476957
United States of America,USA,Men,2001,27.88524423,27.61276649,28.15343004,0.255742911,0.22056591,0.29368408,0.077198777,0.057783577,0.099482538,0.007217944,0.00451256,0.010808445,0.018858544,0.012978988,0.026390163,0.312130116,0.279115522,0.346301956,0.406050485,0.368331525,0.444259364,0.178544134,0.145749555,0.213719306,0.052723919,0.036632172,0.072198152,0.024474857,0.01479646,0.037228517
United States of America,USA,Men,2002,28.00486439,27.74111472,28.26762715,0.263360795,0.227829622,0.300928199,0.08169231,0.061812427,0.104609413,0.007003036,0.004374659,0.010506501,0.018242566,0.012554333,0.025383913,0.306089806,0.2734663,0.339063525,0.405303797,0.36792502,0.443423098,0.181668486,0.149074027,0.217064233,0.055316097,0.0387348,0.075106082,0.026376213,0.016145343,0.039901746
United States of America,USA,Men,2003,28.12022792,27.86706825,28.37523505,0.270887693,0.235176316,0.308225901,0.086257952,0.065874779,0.109709989,0.006800951,0.004266291,0.010191792,0.017659688,0.012210258,0.024530399,0.300246485,0.268144823,0.332833226,0.404405183,0.367577605,0.44190008,0.184629741,0.152019729,0.219637423,0.057918368,0.040944258,0.078353937,0.028339584,0.017811852,0.042156751
United States of America,USA,Men,2004,28.23063532,27.98023232,28.48065622,0.278322715,0.242437716,0.315457037,0.090870189,0.070117261,0.115045835,0.00661011,0.004176512,0.009900697,0.017108471,0.011888499,0.023707918,0.29460337,0.262870794,0.326722282,0.403355334,0.367179601,0.440448894,0.187452526,0.154892927,0.222310749,0.060510386,0.043044422,0.081257653,0.030359802,0.019488285,0.044814851
United States of America,USA,Men,2005,28.33478841,28.09078196,28.58340621,0.285671294,0.249414958,0.323547138,0.095525825,0.073881878,0.120705941,0.006429843,0.004070255,0.009581433,0.016587539,0.011535332,0.022832605,0.289162524,0.25762471,0.321106916,0.4021488,0.365675341,0.438985948,0.19014547,0.157740934,0.225028058,0.063091569,0.045084002,0.084724332,0.032434255,0.02104803,0.047371315
United States of America,USA,Men,2006,28.43304641,28.1912317,28.67524076,0.292944305,0.256433949,0.331060971,0.100228691,0.077819971,0.12591932,0.006259084,0.003945886,0.009344372,0.016092891,0.011197029,0.022219832,0.283900979,0.252452705,0.315162656,0.400802741,0.364499515,0.43726468,0.192715614,0.16027366,0.227564297,0.065673552,0.047238465,0.087889275,0.034555138,0.022421093,0.050223859
United States of America,USA,Men,2007,28.52403974,28.27674515,28.76425384,0.300161006,0.264023605,0.338820003,0.104987686,0.08152536,0.131318874,0.006096108,0.003853236,0.009159083,0.01562344,0.010895855,0.021578953,0.27879391,0.247052038,0.310192561,0.399325536,0.362316337,0.436148987,0.19517332,0.162522844,0.230007839,0.06826078,0.049460699,0.090734655,0.036726906,0.02399194,0.053225282
United States of America,USA,Men,2008,28.60709156,28.35953174,28.85222985,0.30733194,0.270794417,0.346211171,0.109809973,0.085504471,0.137381369,0.005940019,0.003748451,0.008967664,0.015175681,0.010524014,0.021112355,0.273836662,0.241777905,0.305544232,0.397715699,0.360470721,0.434617843,0.197521966,0.164691535,0.232789625,0.070848641,0.05132963,0.093945319,0.038961332,0.025476883,0.056248944
United States of America,USA,Men,2009,28.68092622,28.42453657,28.93797362,0.314480263,0.276603618,0.353995959,0.114692575,0.088971635,0.143848306,0.005789717,0.003579421,0.008776236,0.014747704,0.010145495,0.020514318,0.268998042,0.23679189,0.301138327,0.395984274,0.358058212,0.43399963,0.199787688,0.166379334,0.235922859,0.07344122,0.05315625,0.098045701,0.041251355,0.026741792,0.05976398
United States of America,USA,Men,2010,28.7442759,28.4737734,29.015337,0.321613523,0.281995738,0.362629383,0.119653113,0.092755386,0.150538763,0.005647017,0.003434604,0.008693553,0.014337648,0.009765224,0.020111709,0.264254018,0.231075422,0.297528795,0.394147795,0.355339567,0.432485576,0.201960411,0.167453687,0.238805079,0.076036167,0.054872651,0.10185724,0.043616945,0.0279632,0.063605193
United States of America,USA,Men,2011,28.79841336,28.50765707,29.09712249,0.328731411,0.287258909,0.37166953,0.124690123,0.096201981,0.157574125,0.005511206,0.003291613,0.008621422,0.013945024,0.009370045,0.019891729,0.259589987,0.225466119,0.29351021,0.392222372,0.351622992,0.431959049,0.204041288,0.168114562,0.242061331,0.078631345,0.055975375,0.10544942,0.046058778,0.029023956,0.067571739
United States of America,USA,Men,2012,28.84501159,28.51505363,29.18099271,0.335864628,0.292184392,0.380998257,0.129825016,0.099382397,0.16493574,0.00538105,0.0031463,0.008590839,0.013565641,0.008907003,0.019694739,0.255003029,0.219383693,0.290386028,0.390185652,0.347469975,0.431602155,0.206039612,0.168237887,0.245529076,0.081240783,0.057223701,0.109952888,0.048584233,0.029876951,0.072135963
United States of America,USA,Men,2013,28.88799473,28.51102001,29.26260686,0.343023406,0.296784237,0.390971243,0.135060755,0.102432624,0.172949781,0.005255465,0.002997564,0.008601531,0.013201502,0.008486437,0.01950708,0.250477216,0.21321756,0.288114198,0.388042411,0.34291614,0.432003811,0.207962652,0.167409057,0.249794303,0.083862703,0.058057996,0.115026001,0.051198051,0.030572762,0.077284222
United States of America,USA,Men,2014,28.92939724,28.48584566,29.36406125,0.350211972,0.301412842,0.400916319,0.140411708,0.104812764,0.181461064,0.005135164,0.002824495,0.008595892,0.012849301,0.008071581,0.019391843,0.24598846,0.207070914,0.285916675,0.385815103,0.338066041,0.433026635,0.209800264,0.166718964,0.254402187,0.086514081,0.058954277,0.120348921,0.053897627,0.031416694,0.082950925
